product_id,brand,weight,cpu,cpu_series,cpu_model,cpu_cache,freq,freq_bound,gpu,gpu_model,gpu_size,HDD,SSD,screen_size,screen_acc,port_vga,port_hdmi,port_thunderbolt,port_serial,usb3,usb2,usb4,usbc,battery,os,ram,ram_kind,price
dkp-2843902,apple,1.29,Intel,Corei5,dual,6000000,1.1_3.5,_2.0,Intel,IntelIrisPlus,0,0,512000000000,13.3,QHD,0,0,1,0,0,0,0,1,0,AppleMacOS,8000000000,DDR4,31890000
dkp-3945182,lenovo,2.46,Intel,Corei7,10750H,12000000,2.6UPTO5.0,2.5_2.8,NVIDIA,GeforceGTX1650TI,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,4,0,0,1,0,0,16000000000,DDR4,31590000
dkp-5157043,lenovo,2.46,AMD,Ryzen7,4800H,8000000,2.9_4.2,2.8,NVIDIA,GeforceGTX1660Ti,6000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,4,0,0,1,0,0,16000000000,DDR4,31500000
dkp-2445318,hp,1.46,Intel,Corei5,1035G1,6000000,1.0,2.8,Intel,IntelUHDGraphics,0,0,256000000000,14,HD,0,1,0,0,2,0,0,1,0,MicrosoftWindows10,8000000000,DDR4,31500000
dkp-3785143,asus,1.09,AMD,Ryzen7,4700U,8000000,2.0,2.5_2.8,NVIDIA,NvidiaGeforcemx350,2000000000,0,1000000000000,14,FullHD,0,1,0,0,1,0,0,1,0,0,16000000000,DDR4,31500000
dkp-2845964,apple,1.4,Intel,Corei5,quad,6000000,1.4_3.9,_2.0,Intel,IntelIrisPlus645,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,0,1,0,AppleMacOS,8000000000,DDR3,31499000
dkp-4929106,dell,1.84,Intel,Corei7,1165g7,12000000,2.8,2.8,NVIDIA,GeForceMX330GDDR5,2000000000,1000000000000,512000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,31000000
dkp-3332201,lenovo,2.39,Intel,Corei7,10750H,12000000,2.6,2.8,NVIDIA,GeForceGTX1650Ti,4000000000,0,512000000000,15.6,FullHD,0,1,0,0,3,0,0,1,0,MicrosoftWindows10,16000000000,DDR4,30970000
dkp-4521926,envy,1.3,Intel,Corei7,1165G7,12000000,1.20,2.8,Intel,IrisXGraphics,0,0,512000000000,13.3,FullHD,0,0,1,0,2,0,0,1,0,MicrosoftWindows10,8000000000,DDR4,30890000
dkp-4893467,dell,2.56,Intel,Corei7,10750H,12000000,2.6,2.5_2.8,NVIDIA,GeForceGTX1650GDDR6,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,1,2,0,0,0,UbuntuLinux,16000000000,DDR4,30890000
dkp-2843863,apple,1.29,Intel,Corei5,dual,6000000,1.1_3.5,_2.0,Intel,IntelIrisPlus,0,0,512000000000,13.3,QHD,0,0,0,0,0,0,0,1,0,AppleMacOS,8000000000,DDR4,30864000
